=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:28:00
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,3
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,891
Средняя доходность %,4.38
Медианная доходность %,1.54
Win rate %,67.3
Profit factor,5.39
Sharpe,2.51
Макс просадка %,40.28
Общая доходность %,7302930963.23
CAGR %,0.00
Макс выигрыш %,122.29
Макс проигрыш %,-28.12
Ср. выигрыш %,7.98
Ср. проигрыш %,3.05
Макс серия побед,15
Макс серия потерь,7
Ср. удержание дней,5.0
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
1,SIBN,S2,ULTRA,8.67,3.07,2015-01-22,2015-01-23,2015-02-03,154.05,156.28,1.45,7,ts_extend
2,USBN,S2,ULTRA,8.93,11.18,2015-02-12,2015-02-13,2015-02-24,0.02,0.03,60.88,6,ts_extend
3,UNKL,S2,ULTRA,9.49,11.96,2015-02-12,2015-02-13,2015-02-26,1402.24,1828.50,30.40,6,ts_extend
4,KMAZ,S2,BASE,3.28,5.60,2015-02-24,2015-02-25,2015-03-04,44.67,52.17,16.80,5,ts_extend
5,KZOS,S2,ULTRA,8.37,5.52,2015-02-25,2015-02-26,2015-03-10,18.03,17.84,-1.03,6,ts_extend
6,MRKY,S2,BASE,3.22,6.96,2015-03-03,2015-03-04,2015-03-12,0.04,0.04,-0.80,5,ts_extend
7,KZOS,S2,STRONG,6.75,3.23,2015-03-12,2015-03-13,2015-03-17,19.03,20.97,10.17,2,rotate_atr20
8,SAGOP,S2,STRONG,6.07,5.30,2015-03-12,2015-03-13,2015-03-23,0.23,0.29,29.47,6,ts_extend
9,YKEN,S2,ULTRA,8.71,8.52,2015-03-16,2015-03-17,2015-03-26,0.17,0.18,2.15,6,ts_extend
10,KMEZ,S2,STRONG,6.66,10.28,2015-03-31,2015-04-01,2015-04-13,476.76,564.89,18.49,6,ts_extend
11,AFLT,S1,BASE,4.49,3.73,2015-04-10,2015-04-13,2015-04-20,37.19,38.84,4.43,5,ts_extend
